,Actual Location,Clouds(%),Country,Date,Humidity(%),Latitude,Longitude,Max_temp,Min_temp,Pressure(hpa),Returned Location,Temparature(in celcius),Time,Weather_Condition,Weather_Description,Wind_Speed(m/s)
141,Kinarut,75,MY,06/29/2018,66,5.8231,116.0466,32.0,32.0,1009,Kinarut,32.0,13:03:46,Clouds,broken clouds,1.5
142,Kampung Ayer Molek,75,MY,06/29/2018,94,2.2139,102.3278,25.0,25.0,1011,Kampung Ayer Molek,25.0,13:03:47,Rain,light rain,2.21
143,Kuala Lipis,12,MY,06/29/2018,90,4.187,102.0544,29.3,29.3,999.43,Kuala Lipis,29.3,13:03:47,Clouds,few clouds,1.86
144,Pantai Cenang,75,MY,06/29/2018,74,6.3,99.72,-244.15,-244.15,1010,Chabang Wahid,-244.15,13:03:49,Clouds,broken clouds,2.6
145,Bemban,75,MY,06/29/2018,94,2.268,102.3772,25.0,25.0,1011,Bemban,25.0,13:03:49,Rain,light rain,2.21
146,Kuala Perlis,75,MY,06/29/2018,79,6.4007,100.1361,31.0,29.0,1010,Kuala Perlis,29.7,13:03:50,Clouds,broken clouds,5.1
147,Sungai Pelek New Village,75,MY,06/29/2018,94,2.65,101.7,28.0,26.0,1011,Sungai Pelek New Village,27.15,13:03:51,Rain,light rain,1.5
148,Jertih,75,MY,06/29/2018,66,5.7377,102.495,31.0,31.0,1009,Jertih,31.0,13:03:52,Clouds,broken clouds,1.5
149,Kelapa Sawit,75,MY,06/29/2018,88,1.6803,103.5253,26.0,24.0,1011,Kelapa Sawit,24.72,13:03:53,Rain,moderate rain,1.5
150,Buloh Kasap,75,MY,06/29/2018,94,2.5536,102.764,25.0,25.0,1011,Buloh Kasap,25.0,13:03:54,Rain,light rain,2.21
151,Kota Belud,75,MY,06/29/2018,66,6.3498,116.4293,32.0,32.0,1009,Kota Belud,32.0,13:03:55,Clouds,broken clouds,1.5
152,Kampung Bukit Tinggi,75,MY,06/29/2018,69,3.35,101.8167,28.0,26.0,1012,Kampung Bukit Tinggi,26.89,13:03:56,Rain,light rain,3.6
153,Tumpat,75,MY,06/29/2018,66,6.1984,102.1682,31.0,30.0,1009,Tumpat,30.42,13:03:57,Clouds,broken clouds,1.5
154,Kuala Sungai Baru,75,MY,06/29/2018,94,2.3579,102.0342,26.0,25.0,1011,Kuala Sungai Baru,25.55,13:03:58,Rain,light rain,4.71
155,Juru,75,MY,06/29/2018,83,5.3159,100.4374,26.0,26.0,1010,Juru,26.0,13:03:59,Rain,light rain,4.6
156,Pulau Sebang,75,MY,06/29/2018,94,2.4438,102.2306,26.0,25.0,1011,Pulau Sebang,25.58,13:04:00,Rain,light rain,4.71
157,Chaah,44,MY,06/29/2018,66,2.2457,103.0416,30.8,30.8,1007.21,Chaah,30.8,13:04:01,Clouds,scattered clouds,2.51
158,Ayer Hangat,75,MY,06/29/2018,74,6.43,99.81,-244.15,-244.15,1010,Kuah,-244.15,13:04:02,Clouds,broken clouds,2.6
159,Telaga Batu,75,MY,06/29/2018,83,5.47,100.23,-247.15,-247.15,1010,Tanjung Tokong,-247.15,13:04:03,Rain,light rain,4.6
160,Padang Mat Sirat,75,MY,06/29/2018,74,6.35,99.73,-244.15,-244.15,1010,Chabang Wahid,-244.15,13:04:05,Clouds,broken clouds,2.6
161,Taman Rajawali,75,MY,06/29/2018,59,5.89,118.04,-241.15,-241.15,1008,Kampung Pamaguan,-241.15,13:04:06,Clouds,broken clouds,1.5
162,Tanah Rata,90,MY,06/29/2018,100,4.4707,101.3777,22.0,22.0,1013,Tanah Rata,22.0,13:04:07,Rain,heavy intensity rain,2.1
